Easting  , Northing , Cu100Depth, TestCount, MinCu , MaxCu , MinDepth, MaxDepth, PrimaryTestType, Latitude          , Longitude
446457.9 , 193662.73,  1.0      ,         3, 127.67, 135.33,     1.0 ,     3.0 , HandVane       , 51.639856710939256, -1.3300570881444713
446491.28, 193034.8 ,  9.1865225,         4,  61.0 , 340.0 ,     4.28,    18.3 , TriaxialTotal  , 51.634208401822335, -1.3296580441802697
446493.75, 193045.19,           ,       452,       ,       ,         ,         , CPTDerived     , 51.63430161666209 , -1.3296209998837576
446500.12, 193591.92,  2.69997  ,         2,  76.67, 110.0 ,     2.0 ,     3.0 , HandVane       , 51.639216581290256, -1.3294564372851216
446525.0 , 194293.98, 16.8      ,         1, 360.0 , 360.0 ,    16.8 ,    16.8 , TriaxialTotal  , 51.64552651159415 , -1.3290038882163615
446525.0 , 194301.5 ,           ,       713,       ,       ,         ,         , CPTDerived     , 51.645594081741294, -1.3290028911294314
446526.66, 194244.77,  2.3352747,         5,  84.67, 130.0 ,     1.4 ,     4.6 , HandVane       , 51.64508386767055 , -1.3289864832711211
446526.72, 193548.56,  2.5      ,         3,  74.0 , 139.0 ,     1.0 ,     2.5 , HandVane       , 51.63882455913234 , -1.3290779284908116
446531.0 , 190836.0 ,  2.7      ,         5,  37.5 , 118.33,     0.7 ,     2.7 , HandVane       , 51.614436500296435, -1.329375592890752
446560.53, 193483.38,  4.344928 ,         4,  68.33, 101.33,     2.0 ,     4.4 , HandVane       , 51.638235691016   , -1.3285980195339497
446589.03, 194340.83,           ,       356,       ,       ,         ,         , CPTDerived     , 51.645942377343545, -1.3280723342608098
446611.8 , 193387.62,  8.0      ,         2,  64.67,  94.0 ,     2.0 ,     3.0 , HandVane       , 51.637370600860066, -1.3278697820922478
446626.0 , 195481.0 ,  3.1479483,         5,  56.67, 126.67,     0.6 ,     4.3 , HandVane       , 51.656190162556975, -1.3273864429917392
446637.5 , 194368.4 , 19.9      ,         1, 260.0 , 260.0 ,    19.9 ,    19.9 , TriaxialTotal  , 51.64618631358886 , -1.3273682269490932
446704.0 , 194328.98,  8.7      ,         1, 200.0 , 200.0 ,     8.7 ,     8.7 , TriaxialTotal  , 51.64582638049248 , -1.3264124565613682
446824.22, 194577.16,           ,       216,       ,       ,         ,         , CPTDerived     , 51.64804762382784 , -1.324641997381388
446827.94, 194479.02,  8.2      ,         1,  74.0 ,  74.0 ,     3.2 ,     3.2 , TriaxialTotal  , 51.64716497066959 , -1.3246013606193963
446938.0 , 193841.0 ,  0.5      ,         5,  65.0 , 140.0 ,     0.5 ,     4.0 , HandVane       , 51.64141966390933 , -1.323096157405277
446982.34, 194256.6 ,  9.7      ,         1,  64.0 ,  64.0 ,     4.7 ,     4.7 , TriaxialTotal  , 51.64515241302943 , -1.3223997218974495
447018.7 , 193429.6 ,  9.9896555,         2,  53.0 , 140.0 ,     6.1 ,    13.3 , TriaxialTotal  , 51.637714143362565, -1.3219853723231256
447028.12, 194559.66,  8.7      ,         1, 140.0 , 140.0 ,     8.7 ,     8.7 , TriaxialTotal  , 51.647873311309354, -1.3216974876663266
